id,species,size.cat,red.fib,yell.fib,green.fib,turq.fib,blu.fib,purp.fib,gray.fib,clear.fib,pink.fib,brown.fib,orang.fib,black.fib,red.frag,yell.frag,green.frag,turq.frag,blu.frag,purp.frag,gray.frag,clear.frag,pink.frag,brown.frag,orang.frag,black.frag,whit.spher,clear.spher
Algae Nov 13 # 1 Ts,Tetraselmis suecica,onethousandto5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algae Nov 13 # 2 Cm,Chaetoceros muelleri,twentyto50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algae Nov 13 # 2 Cm,Chaetoceros muelleri,fiftyto100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algae Nov 13 # 2 Cm,Chaetoceros muelleri,onehundredto500,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algae Nov 13 # 2 Cm,Chaetoceros muelleri,fivehundredto1000,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algae Nov 13 # 2 Cm,Chaetoceros muelleri,onethousandto5000,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algae Nov 13 # 3 Tiso,Tisochrysis lutea,twentyto50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algae Nov 13 # 3 Tiso,Tisochrysis lutea,fiftyto100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algae Nov 13 # 3 Tiso,Tisochrysis lutea,onehundredto500,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algae Nov 13 # 3 Tiso,Tisochrysis lutea,fivehundredto1000,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algae Nov 13 # 3 Tiso,Tisochrysis lutea,onethousandto5000,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
